Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.362230924510549,0.292936995026824,-0.00346514121300403,0,0,0,841.059374418799,46.1239466552901,-0.0323358134675047,0.00321101498386625,40.9088285659479,0.0607333639766209,42.4118451236677,0,0,0,0,0,0,package://X7-duo(2)/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/base_link.STL,,Oasis-300EL机器人（带顶板）2023-5-16-1;躯干-1;524SQ111-00-01-A-1;524SQ111-00-02-A-1;ZT21LC-AJ01-2-750-450 最高位置-1;524SQ111-00-03-01-A-视觉工控机支架-1;视觉工控机-1;机器人控制器#controller-1;示教器#HT0804外形模型-1;524SQ111-00-03-02-A-电路安装板-1;型材框架-1;Oasis-300EL-顶板-1;立柱风琴罩-1;524SQ111-00-04-A-头部装配总成-1;X7S-730-5V0.1外观-2/X7S-730-5V0.1-001 圆柱底座-1;X7S-730-5V0.1外观-1/X7S-730-5V0.1-001 圆柱底座-1,coordinate15,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-1.1683E-05,0.050407,-0.049668,0,0,0,2.092,0.003644,7.1624E-07,9.6043E-07,0.0038992,-0.00080245,0.0029499,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link1.STL,,X7S-730-5V0.1外观-1/X7S-730-5V0.1-002 连杆1-1,coordinate1,Axis 1,Joint1,revolute,0,0,0.4345,0,0,-1.5251,base_link,0,0,1,190,1,-3.14,3.14,,,,,,,,
Link2,-0.00011256,0.041285,-0.0022275,0,0,0,0.83875,0.0025419,-6.5906E-06,-1.19E-06,0.0012397,8.6273E-05,0.0028224,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link2.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link2.STL,,X7S-730-5V0.1外观-1/X7S-730-5V0.1-003 连杆2-2,coordinate2,Axis 2,Joint2,revolute,0,0,0,1.5708,0,3.1416,Link1,0,0,-1,45,1,-3.14,3.14,,,,,,,,
Link3,2.2102E-06,0.05514,-0.031556,0,0,0,1.3226,0.0017673,1.4213E-08,5.1267E-08,0.0019097,-0.0004238,0.001322,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link3.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link3.STL,,X7S-730-5V0.1外观-1/X7S-730-5V0.1-004 连杆3-2,coordinate3,Axis 3,Joint3,revolute,0,0.2525,0,1.5708,0,3.1416,Link2,0,0,-1,45,1,-3.14,3.14,,,,,,,,
Link4,-0.00011256,0.041285,-0.0022275,0,0,0,0.83875,0.0025419,-6.5906E-06,-1.19E-06,0.0012397,8.6273E-05,0.0028224,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link4.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link4.STL,,X7S-730-5V0.1外观-1/X7S-730-5V0.1-003 连杆2-3,coordinate4,Axis 4,Joint4,revolute,0,0,0,1.5708,0,3.1416,Link3,0,0,-1,45,1,-3.14,3.14,,,,,,,,
Link5,2.2093E-06,0.05514,-0.031556,0,0,0,1.3226,0.0017673,1.4176E-08,5.1222E-08,0.0019097,-0.0004238,0.001322,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link5.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link5.STL,,X7S-730-5V0.1外观-1/X7S-730-5V0.1-004 连杆3-3,coordinate5,Axis 5,Joint5,revolute,0,0.2525,0,1.5708,0,3.1416,Link4,0,0,-1,45,1,-3.14,3.14,,,,,,,,
Link6,-0.00011256,0.041285,-0.0022275,0,0,0,0.83875,0.0025419,-6.5906E-06,-1.19E-06,0.0012397,8.6273E-05,0.0028224,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link6.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link6.STL,,X7S-730-5V0.1外观-1/X7S-730-5V0.1-003 连杆2-4,coordinate6,Axis 6,Joint6,revolute,0,0,0,1.5708,0,3.1416,Link5,0,0,-1,45,1,-3.14,3.14,,,,,,,,
Link7,-9.975E-05,-0.0001078,0.12704,0,0,0,1.4581,0.00073198,9.7501E-08,-8.7769E-07,0.00073784,-1.5995E-06,0.0011127,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link7.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link7.STL,,X7S-730-5V0.1外观-1/GJ17IV0.1 17关节I型-1,coordinate7,Axis 7,Joint7,revolute,0,0,0,1.5708,0,3.1416,Link6,0,0,1,45,1,-3.14,3.14,,,,,,,,
Link8,-1.13429334526738E-05,0.0504075893092015,-0.0496678513924143,0,0,0,2.09194606226853,0.00364399275445242,7.06884111213726E-07,9.50748744270944E-07,0.00389918388947431,-0.000802438458553338,0.00294987442129985,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link8.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link8.STL,,X7S-730-5V0.1外观-2/X7S-730-5V0.1-002 连杆1-1,coordinate8,Axis 8,Joint8,revolute,0,0,-0.4385,3.1416,0,1.6376,base_link,0,0,1,190,1,-3.14,3.14,,,,,,,,
Link9,-0.00011256522461553,0.0412854149831438,-0.00222750466992383,0,0,0,0.838751218757198,0.00254192859839716,-6.59062205953789E-06,-1.18998893514286E-06,0.00123965768796234,8.62734670087217E-05,0.00282242746807384,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link9.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://X7-duo(2)/meshes/Link9.STL,,X7S-730-5V0.1外观-2/X7S-730-5V0.1-003 连杆2-2,coordinate9,Axis 9,Joint9,revolute,0,0,0,1.5708,0,3.1416,Link8,0,0,-1,45,1,-3.14,3.14,,,,,,,,
