Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.016465,-6.2104E-08,0.2186,0,0,0,1.2996,0.035976,-1.3223E-09,-0.00018779,0.036865,4.1353E-09,0.0038633,0,0,0,0,0,0,package://onlyOpenArm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/base_link.STL,,openarm_base_link.stp-2,openarm_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
chest_link,-0.00265426125453608,-4.62170468645087E-07,-0.000315991909358826,0,0,0,0.961029300529121,0.00154725912662695,1.7764772828954E-09,-8.78663568183448E-06,0.00146100214608263,5.50592531335144E-09,0.00110103910235356,0,0,0,0,0,0,package://onlyOpenArm/meshes/chest_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/chest_link.STL,,chest_link.stp-2,chest_link,1_J,chest_link_joint,fixed,0,0,0.689,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L_link1,0.0028574850509792,0.0632204521899359,-3.65597203566548E-06,0,0,0,0.428723167605888,0.000497786435074814,-4.06674375356836E-06,-1.4852974232873E-08,0.000348928202100703,2.18829443005103E-08,0.000348282547632613,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link1.STL,,L_link1_fix-1,L_link1,1_J,L_link1_joint,revolute,0,0.0875,0,0,0,0,chest_link,0,-1,0,40,16.754666,-3.490659,1.396263,,,,,,,,
L_link2,0.00319114847802606,1.89157972412812E-05,-0.0180126991207188,0,0,0,0.0330585388174651,4.44439087771086E-05,-9.79241733494771E-09,1.58857978311644E-06,2.43696065668973E-05,2.17251644636195E-08,2.70784810921336E-05,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link2.STL,,L_link2_fix-1,L_link2,L_2_J,L_link2_joint,revolute,-0.0284,0.065,0,0,0,0,L_link1,1,0,0,40,16.754666,-3.3161253267949,0.174532673205103,,,,,,,,
L_link3,-0.00800291007930856,-0.000343346707671943,-0.0531308257525825,0,0,0,0.0461751985532206,9.23488628163283E-05,-2.0765646985585E-08,-5.02288532006929E-06,7.97136401174945E-05,-1.04079045180172E-06,3.3626457414897E-05,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link3.STL,,upper_arm_L.stp-1,L_link3,L_3_J,L_link3_joint,revolute,0.0284,0,-0.051,0,0,0,L_link2,0,0,-1,27,5.445426,-1.570796,1.570796,,,,,,,,
L_link4,-0.000377103258752248,-0.000972742660667103,-0.00461714043021344,0,0,0,0.167515407349166,9.1526242310371E-05,4.06808603077388E-07,-7.74033979090791E-07,9.63150655378188E-05,1.82567188603807E-07,6.43816342016769E-05,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link4.STL,,lower_arm_L.stp-1,L_link4,4_J,L_link4_joint,revolute,0,-5E-05,-0.169,0,0,0,L_link3,0,1,0,27,5.445426,0,2.443461,,,,,,,,
L_link5,-0.00157552316828087,0.00139645686886938,-0.0368146146540423,0,0,0,0.0624093411778105,5.77164829166304E-05,2.51989765412789E-06,4.37147269376145E-07,4.12323548583873E-05,1.56275801538606E-06,3.09448276005759E-05,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link5.STL,,wrist1_L.stp-2,L_link5,L_3_J,L_link5_joint,revolute,0,0,-0.0955,0,0,0,L_link4,0,0,-1,7,20.943946,-1.570796,1.570796,,,,,,,,
L_link6,-0.000118219054211455,0.000482034444093504,9.19047871509315E-05,0,0,0,0.124365317000334,4.3383251869096E-05,-2.85632328450714E-07,1.91172558422698E-10,5.10124622550893E-05,-9.1202007691454E-09,4.38521015932098E-05,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link6.STL,,L_link6.step-1,L_link6,L_6_J,L_link6_joint,revolute,0,0,-0.1205,0,0,0,L_link5,-1,0,0,7,20.943946,-0.785398,0.785398,,,,,,,,
L_link7,0.0579651580272021,-0.0297329943740067,-0.0995073797045613,0,0,0,1.55408348257679,0.000920081040486201,5.52488548083173E-06,-7.11704096168738E-06,0.000202027765234832,-1.03988256694991E-05,0.00092014746838654,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/L_link7.STL,,L_link7.step-1;相機架組合-2/D435i_Solid-1;相機架組合-2/圓環右-3;相機架組合-2/圓環左-2,L_link7,7_J,L_link7_joint,revolute,0,0.03175,0,0,0,0,L_link6,0,-1,0,7,20.943946,-1.570796,1.570796,,,,,,,,
gripper_LL_link,0.002238,-0.0019386,-0.021101,0,0,0,0.034293,1.5009E-05,6.7185E-09,4.766E-07,1.9802E-05,-2.638E-06,8.7324E-06,0,0,0,0,0,0,package://onlyOpenArm/meshes/gripper_LL_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://onlyOpenArm/meshes/gripper_LL_link.STL,,gripper_LL.stp-1,gripper_LL_link,gripper_J,gripper_LL_link_joint,prismatic,0,0.03075,-0.119,0,0,0,L_link7,0,1,0,333,10,0,0.044,,,,,,,,
